items;values
L_Elbow_C;1.0
L_Shoulder_C;1.0
Body_C;2.0
R_Elbow_C;3.0
R_Shoulder_C;3.0
Global_C;2.0
L_Elbow_2B;0.0
L_Shoulder_2B;0.0
Body_2B;1.0
R_Elbow_2B;2.0
R_Shoulder_2B;2.0
Global_2B;1.0
L_Elbow_0B;0.0
L_Shoulder_0B;0.0
Body_0B;0.0
R_Elbow_0B;1.0
R_Shoulder_0B;1.0
Global_0B;1.0
